Team Name A,Team Name B,Match Date,Map Name,Round Count,Rounds Won A,Rounds Won B,Computed Winner,Total Rounds Played,Overtime Played,Player 1 KDA,Player 1 Agent,Player 1 Name,Player 2 KDA,Player 2 Agent,Player 2 Name,Player 3 KDA,Player 3 Agent,Player 3 Name,Player 4 KDA,Player 4 Agent,Player 4 Name,Player 5 KDA,Player 5 Agent,Player 5 Name,Player 6 KDA,Player 6 Agent,Player 6 Name,Player 7 KDA,Player 7 Agent,Player 7 Name,Player 8 KDA,Player 8 Agent,Player 8 Name,Player 9 KDA,Player 9 Agent,Player 9 Name,Player 10 KDA,Player 10 Agent,Player 10 Name
Team 4,Team 9,4/13/23,Lotus,11-13,11,13,Team 9,24,FALSE,30/14/14,Breach,EL33T,22/16/8,Cypher,TheRhyn0,24/17/3,Raze,matchup,19/18/13,Omen,GolDFish,19/19/7,Raze,HoodiexSZN,19/18/4,Chamber,ligaya,15/18/7,Viper,Flower Boy,10/19/16,Omen,TeggyWeggy,9/19/2,Gekko,GJKINGS,6/15/11,Gekko,Suisei
Team 4,Team 9,4/13/23,Bind,7-13,7,13,Team 9,20,FALSE,25/13/1,Raze,matchup,17/12/4,Gekko,EL33T,16/9/10,Brimstone,TeggyWeggy,12/15/6,Raze,HoodiexSZN,15/7/8,Cypher,TheRhyn0,14/17/3,Cypher,ligaya,14/14/2,Gekko,GJKINGS,9/12/9,Skye,Suisei,8/18/3,Viper,Flower Boy,5/18/9,Omen,GolDFish
Team 6,Team 7,4/13/23,Sunset,10-13,10,13,Team 7,23,FALSE,24/17/3,Phoenix,Alex,23/16/3,Jett,DELINQUENT,20/18/10,Cypher,TRUCKLOVER05,20/13/7,Cypher,Buckets,17/15/7,Omen,neroza,13/14/6,Sova,sheepy,14/19/8,Clove,Cascade,13/17/5,Sova,Firaloekia,11/17/5,Fade,bobtheguy6,6/16/9,Gekko,Melocoton
Team 6,Team 7,4/13/23,Ascent,13-7,13,7,Team 6,20,FALSE,24/7/7,Astra,Alex,15/11/9,Sova,neroza,14/15/4,Sova,TRUCKLOVER05,17/8/3,Jett,Buckets,14/16/3,Phoenix,DELINQUENT,12/11/3,Killjoy,sheepy,9/14/11,Omen,Cascade,8/13/4,Fade,bobtheguy6,6/17/4,Cypher,Firaloekia,7/14/3,Reyna,Melocoton
Team 8,Team 5,4/13/23,Bind,11-13,11,13,Team 5,24,FALSE,29/13/6,Cypher,VT Ascetic,28/17/2,Skye,ladiesman712,22/15/6,Astra,Alex,19/14/5,Sova,Z3R0,15/16/6,Brimstone,Bxndt,14/21/1,Viper,SpecK,12/19/1,Jett,outlaw7L,10/19/7,Raze,aerokoon,11/15/5,Gekko,struggles,9/20/3,Killjoy,HighOnPixels
Team 8,Team 5,4/13/23,Lotus,13-9,13,9,Team 8,22,FALSE,32/11/3,Raze,ladiesman712,24/16/7,Gekko,aerokoon,20/19/10,Omen,Nightfury,21/16/2,Jett,struggles,17/16/5,Jett,SpecK,15/19/5,Cypher,VT Ascetic,17/13/8,Omen,Bxndt,8/19/6,Raze,outlaw7L,7/20/3,Sova,Z3R0,3/15/4,Killjoy,HighOnPixels
Team 2,Team 1,4/13/23,Breeze,13-9,13,9,Team 2,22,FALSE,34/13/6,Sova,bliu,25/16/3,Iso,Keyro,18/10/6,Viper,Botswana,18/16/5,Jett,Luckless,12/20/10,Sova,shishinik,11/19/6,Reyna,BUDDA69,11/17/7,Viper,Flower Boy,9/15/11,Kayo,blazingspacepup,8/17/2,Killjoy,jaron,10/13/1,Cypher,HACHIWARE
Team 2,Team 1,4/13/23,Bind,5-13,5,13,Team 1,18,FALSE,27/12/4,Jett,shishinik,20/14/4,Skye,bliu,15/11/5,Raze,Keyro,14/15/7,Brimstone,Flower Boy,11/16/5,Raze,Luckless,12/14/5,Chamber,HACHIWARE,11/9/9,Skye,BUDDA69,7/15/2,Breach,blazingspacepup,6/14/9,Brimstone,Botswana,6/9/6,Killjoy,jaron
Team 5,Team 9,4/14/23,Bind,13-8,13,8,Team 5,21,FALSE,23/14/13,Brimstone,Nightfury,21/16/5,Raze,matchup,20/20/7,Clove,VT Ascetic,19/15/5,Gekko,EL33T,15/15/11,Brimstone,TeggyWeggy,16/15/3,Reyna,struggles,14/16/11,Skye,Suisei,13/18/3,Cypher,TheRhyn0,12/18/5,Jett,outlaw7L,9/15/12,Gekko,Z3R0
Team 5,Team 9,4/14/23,Lotus,13-6,13,6,Team 5,19,FALSE,24/7/6,Chamber,VT Ascetic,18/16/6,Raze,matchup,18/9/7,Omen,Nightfury,15/12/10,Kayo,outlaw7L,13/15/4,Breach,EL33T,11/13/2,Jett,struggles,8/14/9,Omen,TeggyWeggy,10/16/2,Killjoy,TheRhyn0,9/13/5,Gekko,Z3R0,5/16/1,Gekko,Suisei
Team 2,Team 3,4/14/23,Sunset,11-13,11,13,Team 3,24,FALSE,29/18/10,Omen,bliu,22/19/11,Omen,jimmy,21/16/9,Fade,jaX,23/16/8,Gekko,Mocha,16/20/6,Cypher,HACHIWARE,16/17/4,Raze,FlamingFrog,14/19/3,Raze,Luckless,13/20/7,Breach,blazingspacepup,13/15/10,Cypher,AceofSpade,11/18/5,Gekko,GJKINGS
Team 2,Team 3,4/14/23,Bind,13-11,13,11,Team 2,24,FALSE,30/18/4,Reyna,Luckless,24/19/8,Sova,bliu,21/17/5,Omen,AceofSpade,19/21/6,Raze,FlamingFrog,18/17/7,Reyna,jaX,17/17/4,Viper,jimmy,17/17/4,Gekko,Mocha,14/17/17,Brimstone,GJKINGS,15/19/7,Sage,HACHIWARE,6/19/8,Kayo,blazingspacepup
Team 1,Team 7,4/14/23,Bind,13-10,13,10,Team 1,23,FALSE,28/16/7,Raze,Keyro,26/14/16,Brimstone,Flower Boy,19/20/6,Reyna,Firaloekia,18/14/7,Brimstone,Cascade,15/18/1,Breach,DELINQUENT,12/20/4,Jett,TRUCKLOVER05,10/14/7,Killjoy,jaron,13/13/4,Jett,shishinik,13/14/5,Skye,BUDDA69,7/18/4,Sage,Melocoton
Team 1,Team 7,4/14/23,Ascent,10-13,10,13,Team 7,23,FALSE,20/14/7,Raze,DELINQUENT,21/15/6,Phoenix,Keyro,19/11/3,Jett,TRUCKLOVER05,14/19/7,Sova,Firaloekia,15/13/19,Astra,Cascade,18/12/4,Cypher,Melocoton,13/18/8,Kayo,Flower Boy,14/16/10,Omen,TeggyWeggy,14/19/4,Sova,shishinik,6/18/3,Killjoy,jaron
Team 6,Team 8,4/14/23,Lotus,5-13,5,13,Team 8,18,FALSE,21/15/7,Clove,Adigo,17/18/4,Clove,Star,17/9/4,Raze,ladiesman712,15/10/9,Viper,Bxndt,16/12/10,Gekko,aerokoon,15/13/1,Chamber,Buckets,11/14/3,Killjoy,sheepy,7/16/4,Fade,bobtheguy6,5/15/6,Raze,neroza,6/9/7,Killjoy,HighOnPixels
Team 6,Team 8,4/14/23,Sunset,13-6,13,6,Team 6,19,FALSE,28/8/11,Omen,neroza,16/12/6,Fade,bobtheguy6,14/17/5,Clove,adigo,13/15/2,Raze,ladiesman712,12/15/3,Jett,Star,12/8/5,Cypher,Buckets,9/14/4,Breach,aerokoon,8/16/8,Gekko,Bxndt,8/11/6,Killjoy,HighOnPixels,5/9/3,Sova,sheepy
Team 4,Team 10,4/16/23,Ascent,10-13,10,13,Team 10,23,FALSE,23/17/10,Cypher,karena,22/18/12,Clove,jelly,22/16/7,Sova,RiceBoi,22/18/9,Cypher,HoodiexSZN,25/13/5,Sova,Koalascope,17/19/5,Jett,yun,15/20/6,Jett,ligaya,13/22/3,Gekko,GolDFish,11/18/9,Omen,GJKINGS,7/16/12,Fade,GhoulFreak
Team 4,Team 10,4/16/23,Split,13-9,13,9,Team 4,22,FALSE,24/13/2,Jett,HoodiexSZN,21/18/8,Omen,jelly,21/18/5,Jett,yun,19/15/4,Cypher,RiceBoi,19/15/3,Raze,Koalascope,14/18/3,Raze,ligaya,13/15/5,Omen,GolDFish,14/15/7,Gekko,GJKINGS,11/16/4,Cypher,karena,4/17/7,Skye,GhoulFreak
Team 3,Team 10,4/17/23,Ascent,13-10,13,10,Team 3,23,FALSE,29/12/5,Sova,jimmy,25/18/6,Reyna,jaX,18/27/9,Clove,jelly,18/20/8,Cypher,karena,18/17/9,Raze,FlamingFrog,15/19/1,Jett,yun,14/17/9,Sova,Koalascope,13/16/9,Omen,Mocha,13/12/1,Killjoy,AceofSpade,10/15/5,Fade,GhoulFreak
Team 3,Team 10,4/17/23,Bind,10-13,10,13,Team 10,23,FALSE,28/18/2,Gekko,jaX,23/20/13,Clove,jelly,23/16/1,Raze,Koalascope,19/12/2,Jett,yun,15/19/9,Clove,jimmy,16/16/1,Cypher,Mocha,14/16/6,Skye,karena,13/19/5,Omen,AceofSpade,11/14/3,Killjoy,GhoulFreak,6/19/5,Raze,FlamingFrog
Team 4,Team 2,4/17/23,Icebox,11-13,11,13,Team 2,24,FALSE,30/16/7,Reyna,HoodiexSZN,28/18/7,Reyna,Luckless,23/14/8,Sova,bliu,24/16/5,Killjoy,ligaya,20/18/7,Viper,RiceBoi,14/16/6,Clove,blazingspacepup,13/17/4,Killjoy,HACHIWARE,12/14/5,Viper,Botswana,3/18/5,Gekko,GJKINGS,2/22/5,Omen,GolDFish
Team 4,Team 2,4/17/23,Ascent,13-10,13,10,Team 4,23,FALSE,27/16/1,Sova,bliu,24/16/12,Kayo,RiceBoi,18/14/6,Jett,HoodiexSZN,19/15/6,Raze,ligaya,15/18/7,Reyna,Luckless,17/17/10,Omen,Botswana,10/18/4,Killjoy,HACHIWARE,14/15/2,Cypher,GJKINGS,11/17/15,Omen,GolDFish,7/17/15,Kayo,Blazingspacepup